name,address1,address2,city,zip,hours,type
Amalgamated Bank,94 East Burnside Avenue,,Bronx,10453,,financial
Amalgamated Bank,2067 Bartow Avenue,,Bronx,10475,,financial
Amalgamated Bank,3770 East Tremont Avenue,,Bronx,10465,,financial
Amalgamated Bank,1212 Fulton Street,,Brooklyn,11216,,financial
Amalgamated Bank,4502 5th Avenue,,Brooklyn,11220,,financial
Amalgamated Bank,1745 Broadway,,New York,10019,,financial
Amalgamated Bank,10 East 14th Street,,New York,10003,,financial
Amalgamated Bank,564 West 125th Street,,New York,10027,,financial
Amalgamated Bank,619 Main Street,,New York,10044,,financial
Amalgamated Bank,275 7th Avenue,,New York,10001,,financial
Amalgamated Bank,301 3rd Avenue,,New York,10010,,financial
Amalgamated Bank,52 Broadway,,New York,10004,,financial
Amalgamated Bank,158-11 Harry Van Arsdale Jr. Avenue,,Flushing,11365,,financial
Amalgamated Bank,36-16 21st Street,,Long Island City ,11106,,financial
"Bethex, A Division of USAlliance","20 East 179th Street, LL",,Bronx,10453,,financial
Brooklyn Cooperative Federal Credit Union,1474 Myrtle Avenue,,Brooklyn ,11237,,financial
Brooklyn Cooperative Federal Credit Union,834 Dekalb Avenue,,Brooklyn ,11221,,financial
Carver Federal Savings Bank,4 Hanson Place,,Brooklyn ,11217,,financial
Carver Federal Savings Bank,1392 Fulton Street,,Brooklyn ,11216,,financial
Carver Federal Savings Bank,1009 Nostrand Avenue,,Brooklyn ,11225,,financial
Carver Federal Savings Bank,833 Flatbush Avenue,,Brooklyn ,11226,,financial
Carver Federal Savings Bank,300 West 145th Street,,New York,10039,,financial
Carver Federal Savings Bank,142 Malcolm X Boulevard,,New York,10026,,financial
Carver Federal Savings Bank,75 West 125th Street,,New York,10027,,financial
Carver Federal Savings Bank,160 East 125th Street,,New York,10035,,financial
Carver Federal Savings Bank,158-45 Archer Avenue,,Jamaica,11433,,financial
Carver Federal Savings Bank,115-02 Merrick Boulevard,,Jamaica,11434,,financial
East West Bank,77 Bowery,,New York,10002,,financial
East West Bank,208 Canal Street,,New York,10013,,financial
East West Bank,38-05 Union Street,,Flushing,11354,,financial
East West Bank,41-80 Main Street,Suite 104,Flushing,11355,,financial
East West Bank,1322-1328 Avenue U,,Brooklyn,11229,,financial
East West Bank,5801 8th Avenue,,Brooklyn,11220,,financial
First Republic Bank,320 Park Avenue,(at 51st Street),New York,10022,,financial
